event_name,trace_id,span_id,time_unix_nano,observed_time_unix_nano,severity_number,severity_text,body,attributes,dropped_attributes_count,flags,resource,resource_schema_url,instrumentation_scope,log_schema_url
null,2afa6a33e6805771af1fca3b4446ea6a,112dd6cc94c54a15,1761344637807375922,1761344637807378714,SEVERITY_NUMBER_INFO,INFO,no baggage found in context,{},null,1,"{""attributes"":{""process.pid"":""1"",""os.type"":""linux"",""process.command_line"":""/opt/java/openjdk/bin/java -javaagent:/usr/src/app/opentelemetry-javaagent.jar oteldemo.AdService"",""host.name"":""docker-desktop"",""telemetry.distro.version"":""2.21.0"",""process.executable.path"":""/opt/java/openjdk/bin/java"",""process.runtime.version"":""21.0.8+9-LTS"",""service.version"":""2.1.3"",""service.namespace"":""opentelemetry-demo"",""telemetry.distro.name"":""opentelemetry-java-instrumentation"",""service.name"":""ad"",""host.arch"":""aarch64"",""container.id"":""9b8984aff8923bed249d4d83d3594a07bb2b54fc774e7b8089c3d831d4283e14"",""os.description"":""Linux 6.10.14-linuxkit"",""telemetry.sdk.language"":""java"",""process.runtime.name"":""OpenJDK Runtime Environment"",""telemetry.sdk.version"":""1.55.0"",""process.runtime.description"":""Eclipse Adoptium OpenJDK 64-Bit Server VM 21.0.8+9-LTS"",""telemetry.sdk.name"":""opentelemetry"",""service.instance.id"":""a73adb10-7463-4149-a7b3-f9985c555da0""},""dropped_attributes_count"":null}",https://opentelemetry.io/schemas/1.24.0,"{""name"":""oteldemo.AdService"",""version"":null,""attributes"":{},""dropped_attributes_count"":null}",null
null,2afa6a33e6805771af1fca3b4446ea6a,112dd6cc94c54a15,1761344637807643047,1761344637807645214,SEVERITY_NUMBER_INFO,INFO,Targeted ad request received for [binoculars],{},null,1,"{""attributes"":{""telemetry.distro.name"":""opentelemetry-java-instrumentation"",""telemetry.sdk.version"":""1.55.0"",""process.runtime.version"":""21.0.8+9-LTS"",""process.runtime.description"":""Eclipse Adoptium OpenJDK 64-Bit Server VM 21.0.8+9-LTS"",""process.pid"":""1"",""os.description"":""Linux 6.10.14-linuxkit"",""container.id"":""9b8984aff8923bed249d4d83d3594a07bb2b54fc774e7b8089c3d831d4283e14"",""process.command_line"":""/opt/java/openjdk/bin/java -javaagent:/usr/src/app/opentelemetry-javaagent.jar oteldemo.AdService"",""service.instance.id"":""a73adb10-7463-4149-a7b3-f9985c555da0"",""service.namespace"":""opentelemetry-demo"",""os.type"":""linux"",""host.name"":""docker-desktop"",""process.runtime.name"":""OpenJDK Runtime Environment"",""host.arch"":""aarch64"",""telemetry.sdk.language"":""java"",""telemetry.sdk.name"":""opentelemetry"",""process.executable.path"":""/opt/java/openjdk/bin/java"",""service.version"":""2.1.3"",""service.name"":""ad"",""telemetry.distro.version"":""2.21.0""},""dropped_attributes_count"":null}",https://opentelemetry.io/schemas/1.24.0,"{""name"":""oteldemo.AdService"",""version"":null,""attributes"":{},""dropped_attributes_count"":null}",null
null,2afa6a33e6805771af1fca3b4446ea6a,8e4cf610b52be7e3,1761344637800823000,null,null,null,"[2025-10-24T22:23:57.800Z] ""GET /api/data/?contextKeys=binoculars HTTP/1.1"" 308 - via_upstream - ""-"" 0 32 2 2 ""-"" ""python-requests/2.32.4"" ""2df0bfb8-ecae-9d1a-8a16-015a024491f1"" ""frontend-proxy:8080"" ""172.19.0.25:8080"" frontend 172.19.0.27:35864 172.19.0.27:8080 172.19.0.26:42466 - -
","{""url.path"":""/api/data/?contextKeys=binoculars"",""upstream.cluster"":""frontend"",""destination.address"":""172.19.0.25"",""user_agent.original"":""python-requests/2.32.4"",""server.address"":""172.19.0.27:8080"",""url.full"":""http://frontend-proxy:8080/api/data/?contextKeys=binoculars"",""url.query"":""-"",""source.address"":""172.19.0.26"",""upstream.host"":""172.19.0.25:8080"",""event.name"":""proxy.access"",""url.template"":""-""}",null,null,"{""attributes"":{""log_name"":""otel_envoy_access_log"",""service.name"":""frontend-proxy"",""node_name"":"""",""os.type"":""linux"",""cluster_name"":"""",""host.name"":""docker-desktop"",""zone_name"":""""},""dropped_attributes_count"":null}",https://opentelemetry.io/schemas/1.6.1,"{""name"":null,""version"":null,""attributes"":{},""dropped_attributes_count"":null}",null
null,2afa6a33e6805771af1fca3b4446ea6a,0541556ffb65e57b,1761344637803921000,null,null,null,"[2025-10-24T22:23:57.803Z] ""GET /api/data?contextKeys=binoculars HTTP/1.1"" 200 - via_upstream - ""-"" 0 83 6 5 ""-"" ""python-requests/2.32.4"" ""bdeeec87-dc19-9ec9-ab95-af109f314534"" ""frontend-proxy:8080"" ""172.19.0.25:8080"" frontend 172.19.0.27:35864 172.19.0.27:8080 172.19.0.26:42466 - -
","{""destination.address"":""172.19.0.25"",""url.full"":""http://frontend-proxy:8080/api/data?contextKeys=binoculars"",""server.address"":""172.19.0.27:8080"",""url.query"":""-"",""url.path"":""/api/data?contextKeys=binoculars"",""url.template"":""-"",""upstream.host"":""172.19.0.25:8080"",""upstream.cluster"":""frontend"",""source.address"":""172.19.0.26"",""event.name"":""proxy.access"",""user_agent.original"":""python-requests/2.32.4""}",null,null,"{""attributes"":{""zone_name"":"""",""node_name"":"""",""os.type"":""linux"",""host.name"":""docker-desktop"",""log_name"":""otel_envoy_access_log"",""service.name"":""frontend-proxy"",""cluster_name"":""""},""dropped_attributes_count"":null}",https://opentelemetry.io/schemas/1.6.1,"{""name"":null,""version"":null,""attributes"":{},""dropped_attributes_count"":null}",null
null,719023efdc8723cbe1a09cb702bf6f8d,77793f4ff4c4b973,1761344635085053400,1761344635085053400,SEVERITY_NUMBER_INFO,Information,Order details: {@OrderResult}.,"{""@OrderResult"":""{ \""orderId\"": \""20803406-b128-11f0-a155-567d07410202\"", \""shippingTrackingId\"": \""cecc6019-a72f-4bbf-95b5-bae90900588b\"", \""shippingCost\"": { \""currencyCode\"": \""USD\"", \""units\"": \""298\"", \""nanos\"": 999999999 }, \""shippingAddress\"": { \""streetAddress\"": \""1600 Amphitheatre Parkway\"", \""city\"": \""Mountain View\"", \""state\"": \""CA\"", \""country\"": \""United States\"", \""zipCode\"": \""94043\"" }, \""items\"": [ { \""item\"": { \""productId\"": \""L9ECAV7KIM\"", \""quantity\"": 5 }, \""cost\"": { \""currencyCode\"": \""USD\"", \""units\"": \""21\"", \""nanos\"": 949999999 } } ] }""}",null,1,"{""attributes"":{""os.type"":""linux"",""telemetry.sdk.name"":""opentelemetry"",""container.id"":""66ea656c1077c71b33e9099c88c7d9acbf38bdd7429a1f88943a4f0457346932"",""process.runtime.description"":"".NET 8.0.21"",""host.name"":""docker-desktop"",""service.namespace"":""opentelemetry-demo"",""os.build_id"":""6.10.14-linuxkit"",""os.description"":""Debian GNU/Linux 12 (bookworm)"",""service.version"":""2.1.3"",""os.version"":""12"",""process.runtime.version"":""8.0.21"",""process.pid"":""1"",""process.runtime.name"":"".NET"",""os.name"":""Debian GNU/Linux"",""telemetry.distro.version"":""1.12.0"",""process.owner"":""app"",""telemetry.sdk.language"":""dotnet"",""telemetry.sdk.version"":""1.12.0"",""service.name"":""accounting"",""telemetry.distro.name"":""opentelemetry-dotnet-instrumentation""},""dropped_attributes_count"":null}",https://opentelemetry.io/schemas/1.6.1,"{""name"":""Accounting.Consumer"",""version"":null,""attributes"":{},""dropped_attributes_count"":null}",null
null,,,1761344640130467798,1761344640130479923,SEVERITY_NUMBER_INFO,INFO,Reloading Product Catalog...,{},null,null,"{""attributes"":{""host.name"":""docker-desktop"",""service.name"":""product-catalog"",""service.version"":""2.1.3"",""service.namespace"":""opentelemetry-demo"",""os.type"":""linux"",""telemetry.sdk.version"":""1.38.0"",""telemetry.sdk.language"":""go"",""telemetry.sdk.name"":""opentelemetry""},""dropped_attributes_count"":null}",https://opentelemetry.io/schemas/1.37.0,"{""name"":""product-catalog"",""version"":null,""attributes"":{},""dropped_attributes_count"":null}",null
null,4aeaf3425889624e771a39b27f0df643,85c373b4be3f8e31,1761344635065000000,1761344635467000000,SEVERITY_NUMBER_INFO,info,Charge request received.,"{""request"":""{\""amount\"":{\""currencyCode\"":\""USD\"",\""units\"":{\""low\"":408,\""high\"":0,\""unsigned\"":false},\""nanos\"":749999994},\""creditCard\"":{\""creditCardNumber\"":\""4432-8015-6152-0454\"",\""creditCardCvv\"":672,\""creditCardExpirationYear\"":2039,\""creditCardExpirationMonth\"":1}}""}",null,1,"{""attributes"":{""process.command"":""/usr/src/app/node_modules/thread-stream/lib/worker.js"",""process.command_args"":""[\""/nodejs/bin/node\"",\""--require=./opentelemetry.js\"",\""/usr/src/app/node_modules/thread-stream/lib/worker.js\""]"",""process.runtime.version"":""22.21.0"",""process.executable.name"":""/nodejs/bin/node"",""process.executable.path"":""/nodejs/bin/node"",""process.runtime.description"":""Node.js"",""host.name"":""docker-desktop"",""process.runtime.name"":""nodejs"",""service.version"":""2.1.3"",""host.arch"":""arm64"",""os.type"":""linux"",""os.version"":""6.10.14-linuxkit"",""service.namespace"":""opentelemetry-demo"",""process.owner"":""nonroot"",""service.name"":""payment"",""process.pid"":""1""},""dropped_attributes_count"":null}",https://opentelemetry.io/schemas/1.6.1,"{""name"":""payment-logger"",""version"":""1.0.0"",""attributes"":{},""dropped_attributes_count"":null}",null
null,4aeaf3425889624e771a39b27f0df643,85c373b4be3f8e31,1761344635066000000,1761344635467000000,SEVERITY_NUMBER_INFO,info,Transaction complete.,"{""loyalty_level"":""bronze"",""cardType"":""visa"",""transactionId"":""39f757fc-00fa-4e38-8e51-7753a3fa4a60"",""amount"":""{\""units\"":{\""low\"":408,\""high\"":0,\""unsigned\"":false},\""nanos\"":749999994,\""currencyCode\"":\""USD\""}"",""lastFourDigits"":""0454""}",null,1,"{""attributes"":{""os.type"":""linux"",""service.namespace"":""opentelemetry-demo"",""process.runtime.name"":""nodejs"",""process.runtime.description"":""Node.js"",""host.arch"":""arm64"",""service.name"":""payment"",""service.version"":""2.1.3"",""process.pid"":""1"",""process.runtime.version"":""22.21.0"",""process.command_args"":""[\""/nodejs/bin/node\"",\""--require=./opentelemetry.js\"",\""/usr/src/app/node_modules/thread-stream/lib/worker.js\""]"",""host.name"":""docker-desktop"",""os.version"":""6.10.14-linuxkit"",""process.executable.name"":""/nodejs/bin/node"",""process.command"":""/usr/src/app/node_modules/thread-stream/lib/worker.js"",""process.owner"":""nonroot"",""process.executable.path"":""/nodejs/bin/node""},""dropped_attributes_count"":null}",https://opentelemetry.io/schemas/1.6.1,"{""name"":""payment-logger"",""version"":""1.0.0"",""attributes"":{},""dropped_attributes_count"":null}",null
null,2afa6a33e6805771af1fca3b4446ea6a,83ea1a1d7104d14e,1761344637798770432,1761344637798893172,SEVERITY_NUMBER_INFO,INFO,User getting ads for category: binoculars,"{""code.file.path"":""/usr/src/app/locustfile.py"",""otelTraceSampled"":""true"",""code.function.name"":""get_ads"",""otelServiceName"":""load-generator"",""otelSpanID"":""83ea1a1d7104d14e"",""code.line.number"":""147"",""otelTraceID"":""2afa6a33e6805771af1fca3b4446ea6a""}",null,1,"{""attributes"":{""telemetry.sdk.version"":""1.38.0"",""host.name"":""docker-desktop"",""telemetry.sdk.name"":""opentelemetry"",""os.type"":""linux"",""service.namespace"":""opentelemetry-demo"",""service.name"":""load-generator"",""telemetry.sdk.language"":""python"",""service.version"":""2.1.3""},""dropped_attributes_count"":null}",https://opentelemetry.io/schemas/1.6.1,"{""name"":""root"",""version"":null,""attributes"":{},""dropped_attributes_count"":null}",null
null,f1adc4246c06463831f9aed01c464d84,865f5a9832b3cf5a,1761344640759958000,null,null,null,"[2025-10-24T22:24:00.759Z] ""GET /api/data/ HTTP/1.1"" 308 - via_upstream - ""-"" 0 9 1 1 ""-"" ""python-requests/2.32.4"" ""559cca0d-cc0e-9382-a63c-6fd04092123d"" ""frontend-proxy:8080"" ""172.19.0.25:8080"" frontend 172.19.0.27:60806 172.19.0.27:8080 172.19.0.26:38320 - -
","{""source.address"":""172.19.0.26"",""event.name"":""proxy.access"",""url.template"":""-"",""upstream.cluster"":""frontend"",""url.path"":""/api/data/"",""server.address"":""172.19.0.27:8080"",""upstream.host"":""172.19.0.25:8080"",""url.query"":""-"",""destination.address"":""172.19.0.25"",""url.full"":""http://frontend-proxy:8080/api/data/"",""user_agent.original"":""python-requests/2.32.4""}",null,null,"{""attributes"":{""log_name"":""otel_envoy_access_log"",""service.name"":""frontend-proxy"",""zone_name"":"""",""cluster_name"":"""",""os.type"":""linux"",""host.name"":""docker-desktop"",""node_name"":""""},""dropped_attributes_count"":null}",https://opentelemetry.io/schemas/1.6.1,"{""name"":null,""version"":null,""attributes"":{},""dropped_attributes_count"":null}",null
