name,description,unit,metric_type,gauge,sum,histogram,exponential_histogram,summary,metadata,resource,resource_schema_url,instrumentation_scope,metric_schema_url
requests,Number of requests processed,null,sum,null,"{""start_time_unix_nano"":""1761343136573743130"",""time_unix_nano"":""1761343196579981922"",""value"":26,""exemplars"":[],""attributes"":{""status"":""success"",""operation"":""test""},""flags"":null,""aggregation_temporality"":""CUMULATIVE"",""is_monotonic"":true}",null,null,null,{},"{""attributes"":{""telemetry.sdk.version"":""1.27.0"",""telemetry.sdk.language"":""python"",""service.name"":""test-app"",""telemetry.sdk.name"":""opentelemetry""},""dropped_attributes_count"":null}",null,"{""name"":""__main__"",""version"":null,""attributes"":{},""dropped_attributes_count"":null}",null
processing_time,Processing time in milliseconds,ms,histogram,null,null,"{""start_time_unix_nano"":""1761343136573759338"",""time_unix_nano"":""1761343196579981922"",""count"":26,""sum"":8046.04638332708,""bucket_counts"":[0,0,0,0,0,0,0,7,19,0,0,0,0,0,0,0],""explicit_bounds"":[0,5,10,25,50,75,100,250,500,750,1000,2500,5000,7500,10000],""exemplars"":[],""attributes"":{""operation"":""test""},""flags"":null,""min"":124.89179206322056,""max"":492.90905418889,""aggregation_temporality"":""CUMULATIVE""}",null,null,{},"{""attributes"":{""service.name"":""test-app"",""telemetry.sdk.version"":""1.27.0"",""telemetry.sdk.name"":""opentelemetry"",""telemetry.sdk.language"":""python""},""dropped_attributes_count"":null}",null,"{""name"":""__main__"",""version"":null,""attributes"":{},""dropped_attributes_count"":null}",null
random_value,Random gauge value,null,gauge,"{""start_time_unix_nano"":null,""time_unix_nano"":""1761343196579981922"",""value"":43,""exemplars"":[],""attributes"":{""type"":""test""},""flags"":null}",null,null,null,null,{},"{""attributes"":{""telemetry.sdk.name"":""opentelemetry"",""telemetry.sdk.version"":""1.27.0"",""service.name"":""test-app"",""telemetry.sdk.language"":""python""},""dropped_attributes_count"":null}",null,"{""name"":""__main__"",""version"":null,""attributes"":{},""dropped_attributes_count"":null}",null
requests,Number of requests processed,null,sum,null,"{""start_time_unix_nano"":""1761343136573743130"",""time_unix_nano"":""1761343317598626589"",""value"":79,""exemplars"":[],""attributes"":{""operation"":""test"",""status"":""success""},""flags"":null,""aggregation_temporality"":""CUMULATIVE"",""is_monotonic"":true}",null,null,null,{},"{""attributes"":{""telemetry.sdk.version"":""1.27.0"",""service.name"":""test-app"",""telemetry.sdk.name"":""opentelemetry"",""telemetry.sdk.language"":""python""},""dropped_attributes_count"":null}",null,"{""name"":""__main__"",""version"":null,""attributes"":{},""dropped_attributes_count"":null}",null
random_value,Random gauge value,null,gauge,"{""start_time_unix_nano"":null,""time_unix_nano"":""1761343317598626589"",""value"":52,""exemplars"":[],""attributes"":{""type"":""test""},""flags"":null}",null,null,null,null,{},"{""attributes"":{""telemetry.sdk.language"":""python"",""telemetry.sdk.name"":""opentelemetry"",""service.name"":""test-app"",""telemetry.sdk.version"":""1.27.0""},""dropped_attributes_count"":null}",null,"{""name"":""__main__"",""version"":null,""attributes"":{},""dropped_attributes_count"":null}",null
processing_time,Processing time in milliseconds,ms,histogram,null,null,"{""start_time_unix_nano"":""1761343136573759338"",""time_unix_nano"":""1761343317598626589"",""count"":79,""sum"":23616.65127898395,""bucket_counts"":[0,0,0,0,0,0,0,26,53,0,0,0,0,0,0,0],""explicit_bounds"":[0,5,10,25,50,75,100,250,500,750,1000,2500,5000,7500,10000],""exemplars"":[],""attributes"":{""operation"":""test""},""flags"":null,""min"":110.47178496764785,""max"":492.90905418889,""aggregation_temporality"":""CUMULATIVE""}",null,null,{},"{""attributes"":{""telemetry.sdk.version"":""1.27.0"",""service.name"":""test-app"",""telemetry.sdk.name"":""opentelemetry"",""telemetry.sdk.language"":""python""},""dropped_attributes_count"":null}",null,"{""name"":""__main__"",""version"":null,""attributes"":{},""dropped_attributes_count"":null}",null
nginx.connections_accepted,The total number of accepted client connections,connections,sum,null,"{""start_time_unix_nano"":""1761344849149129714"",""time_unix_nano"":""1761344850192140382"",""value"":1,""exemplars"":[],""attributes"":{},""flags"":null,""aggregation_temporality"":""CUMULATIVE"",""is_monotonic"":true}",null,null,null,{},"{""attributes"":{""host.name"":""docker-desktop"",""os.type"":""linux""},""dropped_attributes_count"":null}",https://opentelemetry.io/schemas/1.6.1,"{""name"":""github.com/open-telemetry/opentelemetry-collector-contrib/receiver/nginxreceiver"",""version"":""0.133.0"",""attributes"":{},""dropped_attributes_count"":null}",null
nginx.connections_current,The current number of nginx connections by state,connections,sum,null,"{""start_time_unix_nano"":""1761344849149129714"",""time_unix_nano"":""1761344850192140382"",""value"":1,""exemplars"":[],""attributes"":{""state"":""writing""},""flags"":null,""aggregation_temporality"":""CUMULATIVE"",""is_monotonic"":null}",null,null,null,{},"{""attributes"":{""host.name"":""docker-desktop"",""os.type"":""linux""},""dropped_attributes_count"":null}",https://opentelemetry.io/schemas/1.6.1,"{""name"":""github.com/open-telemetry/opentelemetry-collector-contrib/receiver/nginxreceiver"",""version"":""0.133.0"",""attributes"":{},""dropped_attributes_count"":null}",null
redis.clients.blocked,Number of clients pending on a blocking call,{client},sum,null,"{""start_time_unix_nano"":""1761344838193042632"",""time_unix_nano"":""1761344850193042632"",""value"":0,""exemplars"":[],""attributes"":{},""flags"":null,""aggregation_temporality"":""CUMULATIVE"",""is_monotonic"":null}",null,null,null,{},"{""attributes"":{""os.type"":""linux"",""redis.version"":""7.2.4"",""host.name"":""docker-desktop""},""dropped_attributes_count"":null}",https://opentelemetry.io/schemas/1.6.1,"{""name"":""github.com/open-telemetry/opentelemetry-collector-contrib/receiver/redisreceiver"",""version"":""0.133.0"",""attributes"":{},""dropped_attributes_count"":null}",null
redis.clients.connected,Number of client connections (excluding connections from replicas),{client},sum,null,"{""start_time_unix_nano"":""1761344838193042632"",""time_unix_nano"":""1761344850193042632"",""value"":3,""exemplars"":[],""attributes"":{},""flags"":null,""aggregation_temporality"":""CUMULATIVE"",""is_monotonic"":null}",null,null,null,{},"{""attributes"":{""os.type"":""linux"",""redis.version"":""7.2.4"",""host.name"":""docker-desktop""},""dropped_attributes_count"":null}",https://opentelemetry.io/schemas/1.6.1,"{""name"":""github.com/open-telemetry/opentelemetry-collector-contrib/receiver/redisreceiver"",""version"":""0.133.0"",""attributes"":{},""dropped_attributes_count"":null}",null
