trace_id,span_id,trace_state,parent_span_id,flags,name,kind,start_time_unix_nano,end_time_unix_nano,attributes,dropped_attributes_count,events,dropped_events_count,links,dropped_links_count,status,resource,resource_schema_url,instrumentation_scope,span_schema_url
8152f86a9264ac1ebcdaa867facd5719,443b9054f1d68eae,null,9ba1686628de572b,null,router frontend egress,SPAN_KIND_CLIENT,1761344581336511000,1761344581359053000,"{""upstream_cluster"":""frontend"",""response_flags"":""-"",""http.protocol"":""HTTP/1.1"",""upstream_address"":""172.19.0.25:8080"",""component"":""proxy"",""http.status_code"":""200"",""upstream_cluster.name"":""frontend"",""peer.address"":""172.19.0.25:8080""}",null,[],null,[],null,"{""message"":null,""code"":null}","{""attributes"":{""telemetry.sdk.language"":""cpp"",""service.namespace"":""opentelemetry-demo"",""telemetry.sdk.name"":""envoy"",""service.version"":""2.1.3"",""os.type"":""linux"",""service.name"":""frontend-proxy"",""telemetry.sdk.version"":""6aa1dcf8663b46421a2b73b8c357c20769600e53/1.34.10/Clean/RELEASE/BoringSSL"",""host.name"":""docker-desktop""},""dropped_attributes_count"":null}",https://opentelemetry.io/schemas/1.6.1,"{""name"":""envoy"",""version"":""6aa1dcf8663b46421a2b73b8c357c20769600e53/1.34.10/Clean/RELEASE/BoringSSL"",""attributes"":{},""dropped_attributes_count"":null}",null
d07a7dbab3bb3a22b445d7a036e534ab,e5634b347df8a378,null,f13f52912ec3cfc9,null,router frontend egress,SPAN_KIND_CLIENT,1761344582879561000,1761344582965669000,"{""upstream_address"":""172.19.0.25:8080"",""peer.address"":""172.19.0.25:8080"",""upstream_cluster.name"":""frontend"",""response_flags"":""-"",""http.status_code"":""200"",""component"":""proxy"",""http.protocol"":""HTTP/1.1"",""upstream_cluster"":""frontend""}",null,[],null,[],null,"{""message"":null,""code"":null}","{""attributes"":{""service.name"":""frontend-proxy"",""host.name"":""docker-desktop"",""telemetry.sdk.version"":""6aa1dcf8663b46421a2b73b8c357c20769600e53/1.34.10/Clean/RELEASE/BoringSSL"",""service.namespace"":""opentelemetry-demo"",""os.type"":""linux"",""telemetry.sdk.language"":""cpp"",""service.version"":""2.1.3"",""telemetry.sdk.name"":""envoy""},""dropped_attributes_count"":null}",https://opentelemetry.io/schemas/1.6.1,"{""name"":""envoy"",""version"":""6aa1dcf8663b46421a2b73b8c357c20769600e53/1.34.10/Clean/RELEASE/BoringSSL"",""attributes"":{},""dropped_attributes_count"":null}",null
d07a7dbab3bb3a22b445d7a036e534ab,f13f52912ec3cfc9,null,41fd5901d67e2c86,null,ingress,SPAN_KIND_SERVER,1761344582879342000,1761344582965689000,"{""http.protocol"":""HTTP/1.1"",""upstream_cluster"":""frontend"",""user_agent"":""python-requests/2.32.4"",""response_size"":""24"",""peer.address"":""172.19.0.26"",""component"":""proxy"",""node_id"":"""",""http.status_code"":""200"",""request_size"":""0"",""downstream_cluster"":""-"",""response_flags"":""-"",""upstream_cluster.name"":""frontend"",""http.method"":""GET"",""guid:x-request-id"":""a065a2ce-ef29-9453-b506-bcb35855bd13"",""zone"":"""",""http.url"":""http://frontend-proxy:8080/api/cart""}",null,[],null,[],null,"{""message"":null,""code"":null}","{""attributes"":{""telemetry.sdk.name"":""envoy"",""telemetry.sdk.version"":""6aa1dcf8663b46421a2b73b8c357c20769600e53/1.34.10/Clean/RELEASE/BoringSSL"",""service.namespace"":""opentelemetry-demo"",""os.type"":""linux"",""host.name"":""docker-desktop"",""telemetry.sdk.language"":""cpp"",""service.name"":""frontend-proxy"",""service.version"":""2.1.3""},""dropped_attributes_count"":null}",https://opentelemetry.io/schemas/1.6.1,"{""name"":""envoy"",""version"":""6aa1dcf8663b46421a2b73b8c357c20769600e53/1.34.10/Clean/RELEASE/BoringSSL"",""attributes"":{},""dropped_attributes_count"":null}",null
8152f86a9264ac1ebcdaa867facd5719,9ba1686628de572b,null,d756c077f3231974,null,ingress,SPAN_KIND_SERVER,1761344581336142000,1761344581359078000,"{""http.method"":""GET"",""zone"":"""",""downstream_cluster"":""-"",""user_agent"":""python-requests/2.32.4"",""http.status_code"":""200"",""peer.address"":""172.19.0.26"",""upstream_cluster"":""frontend"",""guid:x-request-id"":""388c25d1-585a-905d-b91b-eb2bc512384a"",""component"":""proxy"",""node_id"":"""",""response_flags"":""-"",""response_size"":""3408"",""http.protocol"":""HTTP/1.1"",""upstream_cluster.name"":""frontend"",""http.url"":""http://frontend-proxy:8080/"",""request_size"":""0""}",null,[],null,[],null,"{""message"":null,""code"":null}","{""attributes"":{""telemetry.sdk.name"":""envoy"",""host.name"":""docker-desktop"",""os.type"":""linux"",""service.name"":""frontend-proxy"",""telemetry.sdk.version"":""6aa1dcf8663b46421a2b73b8c357c20769600e53/1.34.10/Clean/RELEASE/BoringSSL"",""service.namespace"":""opentelemetry-demo"",""service.version"":""2.1.3"",""telemetry.sdk.language"":""cpp""},""dropped_attributes_count"":null}",https://opentelemetry.io/schemas/1.6.1,"{""name"":""envoy"",""version"":""6aa1dcf8663b46421a2b73b8c357c20769600e53/1.34.10/Clean/RELEASE/BoringSSL"",""attributes"":{},""dropped_attributes_count"":null}",null
57e2dffaecde2ea2612c3a9e836ad683,7316d2fb14f0246c,null,,null,image-provider,SPAN_KIND_SERVER,1761344580975000000,1761344580975000000,"{""http.response_content_length"":""97"",""net.sock.peer.addr"":""172.19.0.10"",""http.flavor"":""1.1"",""http.method"":""GET"",""http.request_content_length"":""0"",""http.status_code"":""200"",""http.scheme"":""http"",""net.host.name"":""_"",""net.host.port"":""8081"",""http.user_agent"":""Go-http-client/1.1"",""http.target"":""/status"",""http.route"":""/status"",""net.sock.peer.port"":""35452""}",null,[],null,[],null,"{""message"":null,""code"":null}","{""attributes"":{""service.name"":""image-provider"",""os.type"":""linux"",""host.name"":""docker-desktop""},""dropped_attributes_count"":null}",https://opentelemetry.io/schemas/1.6.1,"{""name"":""nginx"",""version"":""1.29.0"",""attributes"":{},""dropped_attributes_count"":null}",null
8152f86a9264ac1ebcdaa867facd5719,d756c077f3231974,null,4d0bb4a008e2d31d,256,GET,SPAN_KIND_CLIENT,1761344581334490757,1761344581359518174,"{""http.method"":""GET"",""http.status_code"":""200"",""http.url"":""http://frontend-proxy:8080/""}",null,[],null,[],null,"{""message"":null,""code"":null}","{""attributes"":{""service.name"":""load-generator"",""host.name"":""docker-desktop"",""telemetry.sdk.name"":""opentelemetry"",""os.type"":""linux"",""service.version"":""2.1.3"",""telemetry.sdk.version"":""1.38.0"",""service.namespace"":""opentelemetry-demo"",""telemetry.sdk.language"":""python""},""dropped_attributes_count"":null}",https://opentelemetry.io/schemas/1.6.1,"{""name"":""opentelemetry.instrumentation.requests"",""version"":""0.59b0"",""attributes"":{},""dropped_attributes_count"":null}",https://opentelemetry.io/schemas/1.11.0
8152f86a9264ac1ebcdaa867facd5719,4d0bb4a008e2d31d,null,,256,user_index,SPAN_KIND_INTERNAL,1761344581331888799,1761344581359580424,{},null,[],null,[],null,"{""message"":null,""code"":null}","{""attributes"":{""os.type"":""linux"",""service.namespace"":""opentelemetry-demo"",""host.name"":""docker-desktop"",""telemetry.sdk.language"":""python"",""service.name"":""load-generator"",""telemetry.sdk.name"":""opentelemetry"",""service.version"":""2.1.3"",""telemetry.sdk.version"":""1.38.0""},""dropped_attributes_count"":null}",https://opentelemetry.io/schemas/1.6.1,"{""name"":""locustfile"",""version"":null,""attributes"":{},""dropped_attributes_count"":null}",null
d07a7dbab3bb3a22b445d7a036e534ab,511918988b65dad0,null,e7bd24dc5ebb6645,769,POST /oteldemo.CartService/GetCart,SPAN_KIND_SERVER,1761344582921600700,1761344582963834800,"{""http.response.status_code"":""200"",""url.scheme"":""http"",""network.protocol.version"":""2"",""server.port"":""7070"",""app.user.id"":"""",""url.path"":""/oteldemo.CartService/GetCart"",""grpc.status_code"":""0"",""grpc.method"":""/oteldemo.CartService/GetCart"",""http.route"":""/oteldemo.CartService/GetCart"",""app.cart.items.count"":""0"",""http.request.method"":""POST"",""server.address"":""cart"",""user_agent.original"":""grpc-node-js/1.12.6""}",null,"[{""time_unix_nano"":""1761344582948276800"",""name"":""Fetch cart"",""attributes"":{},""dropped_attributes_count"":null}]",null,[],null,"{""message"":null,""code"":null}","{""attributes"":{""telemetry.sdk.language"":""dotnet"",""service.namespace"":""opentelemetry-demo"",""service.instance.id"":""7bc4f781-800b-4a44-9432-dd2d6047d69c"",""telemetry.sdk.version"":""1.11.2"",""service.name"":""cart"",""host.name"":""docker-desktop"",""service.version"":""2.1.3"",""container.id"":""85630cc8351f452f4b69b01f607fbf94d10bd811e4a8f019ac64f7b87e9f936c"",""os.type"":""linux"",""telemetry.sdk.name"":""opentelemetry""},""dropped_attributes_count"":null}",https://opentelemetry.io/schemas/1.6.1,"{""name"":""Microsoft.AspNetCore"",""version"":null,""attributes"":{},""dropped_attributes_count"":null}",null
d07a7dbab3bb3a22b445d7a036e534ab,776e7a4b5a976804,null,,256,user_view_cart,SPAN_KIND_INTERNAL,1761344582876643049,1761344582966679966,{},null,[],null,[],null,"{""message"":null,""code"":null}","{""attributes"":{""service.namespace"":""opentelemetry-demo"",""telemetry.sdk.language"":""python"",""service.version"":""2.1.3"",""host.name"":""docker-desktop"",""os.type"":""linux"",""telemetry.sdk.name"":""opentelemetry"",""telemetry.sdk.version"":""1.38.0"",""service.name"":""load-generator""},""dropped_attributes_count"":null}",https://opentelemetry.io/schemas/1.6.1,"{""name"":""locustfile"",""version"":null,""attributes"":{},""dropped_attributes_count"":null}",null
747180096380d9ac3965c5ac53180384,f58c0cfc367f9f7c,null,,256,POST,SPAN_KIND_CLIENT,1761344583842957842,1761344583845373425,"{""http.url"":""http://flagd:8016/ofrep/v1/evaluate/flags/loadGeneratorFloodHomepage"",""http.method"":""POST"",""http.status_code"":""200""}",null,[],null,[],null,"{""message"":null,""code"":null}","{""attributes"":{""telemetry.sdk.language"":""python"",""service.version"":""2.1.3"",""service.name"":""load-generator"",""telemetry.sdk.version"":""1.38.0"",""os.type"":""linux"",""telemetry.sdk.name"":""opentelemetry"",""service.namespace"":""opentelemetry-demo"",""host.name"":""docker-desktop""},""dropped_attributes_count"":null}",https://opentelemetry.io/schemas/1.6.1,"{""name"":""opentelemetry.instrumentation.requests"",""version"":""0.59b0"",""attributes"":{},""dropped_attributes_count"":null}",https://opentelemetry.io/schemas/1.11.0
